country_code,bucket,sex,pop
DOM,55plus,male,470565.0
DOM,55plus,female,514069.0
DZA,1014,male,2396999.0
DZA,1014,female,2299654.0
DZA,1519,male,1966018.0
DZA,1519,female,1880737.0
DZA,2024,male,1518850.0
DZA,2024,female,1460841.0
DZA,2534,male,3276483.0
DZA,2534,female,3091191.0
DZA,3544,male,3751934.0
DZA,3544,female,3549669.0
DZA,4554,male,2902978.0
DZA,4554,female,2760633.0
DZA,55plus,male,1966482.0
DZA,55plus,female,1885826.0
EAP,1014,male,79841049.0
EAP,1014,female,71720711.0
EAP,1519,male,75789291.0
EAP,1519,female,67818992.0
EAP,2024,male,71270080.0
EAP,2024,female,63988052.0
EAP,2534,male,153632015.0
EAP,2534,female,140034441.0
EAP,3544,male,169687559.0
EAP,3544,female,160493021.0
EAP,4554,male,149507175.0
EAP,4554,female,147245476.0
EAP,55plus,male,137732515.0
EAP,55plus,female,142688670.0
EAR,1014,male,168826746.0
EAR,1014,female,158674092.0
EAR,1519,male,165550798.0
EAR,1519,female,155661054.0
EAR,2024,male,159219177.0
EAR,2024,female,150977948.0
EAR,2534,male,296666118.0
EAR,2534,female,282718734.0
EAR,3544,male,258237192.0
EAR,3544,female,248282748.0
EAR,4554,male,194029347.0
EAR,4554,female,190991792.0
EAR,55plus,male,136160359.0
EAR,55plus,female,139956758.0
EAS,1014,male,85604998.0
EAS,1014,female,77173503.0
EAS,1519,male,81803696.0
EAS,1519,female,73485167.0
EAS,2024,male,77944203.0
EAS,2024,female,70242826.0
EAS,2534,male,168617742.0
EAS,2534,female,154099979.0
EAS,3544,male,185540786.0
EAS,3544,female,176045103.0
EAS,4554,male,167684179.0
EAS,4554,female,165504726.0
EAS,55plus,male,154667483.0
EAS,55plus,female,159844485.0
ECA,1014,male,10116401.0
ECA,1014,female,9658261.0
ECA,1519,male,9189967.0
ECA,1519,female,8777598.0
ECA,2024,male,8306693.0
ECA,2024,female,8013515.0
ECA,2534,male,18487424.0
ECA,2534,female,18011242.0
ECA,3544,male,19068870.0
ECA,3544,female,18890054.0
ECA,4554,male,15239796.0
ECA,4554,female,16018839.0
ECA,55plus,male,12489387.0
ECA,55plus,female,14033731.0
ECS,1014,male,29133876.0
ECS,1014,female,27696563.0
ECS,1519,male,28148545.0
ECS,1519,female,26807598.0
ECS,2024,male,26845391.0
ECS,2024,female,25636529.0
ECS,2534,male,58464097.0
ECS,2534,female,56210837.0
ECS,3544,male,65936801.0
