iso3;Country;age_13_17_men;age_13_17_women;age_18_24_men;age_18_24_women;age_25_34_men;age_25_34_women;age_35_44_men;age_35_44_women;age_45_54_men;age_45_54_women;age_55_100_men;age_55_100_women;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio
JOR;JO;2000;2000;796172;680169;1083358;858457;683016;499124;410187;298140;337673;264004;1.0;0.8543;0.7924;0.7308;0.7268;0.7818;3312406;2601894;5914300;0.7855
JPN;JP;2000;2000;461002;429404;1721093;1530681;2200000;2200000;2466667;1946581;2878751;1794958;1.0;0.9315;0.8894;1.0;0.7892;0.6235;9729513;7903624;17633137;0.8123
KEN;KE;2544;2043;3229459;2453348;3300000;2600000;1467578;1145313;621184;406602;634546;507204;0.8031;0.7597;0.7879;0.7804;0.6546;0.7993;9255311;7114510;16369821;0.7687
KGZ;KG;2000;2000;62104;40808;141482;111820;157959;132943;92584;94006;75877;104652;1.0;0.6571;0.7903;0.8416;1.0154;1.3792;532006;486229;1018235;0.914
KHM;KH;2593;2736;2265626;2288450;3230000;2800000;1313683;940212;388296;274430;304884;242680;1.0551;1.0101;0.8669;0.7157;0.7068;0.796;7505082;6548508;14053590;0.8725
KIR;KI;2000;2000;8853;9326;8900;9417;5660;5417;2700;2550;3000;3000;1.0;1.0534;1.0581;0.9571;0.9444;1.0;31113;31710;62823;1.0192
COM;KM;2000;2000;50874;41487;53468;40020;35116;23400;13556;8347;11825;7800;1.0;0.8155;0.7485;0.6664;0.6157;0.6596;166839;123054;289893;0.7376
KNA;KN;2000;2000;2700;2900;5137;5600;4000;4440;2600;3100;3100;3400;1.0;1.0741;1.0901;1.11;1.1923;1.0968;19537;21440;40977;1.0974
KOR;KR;2000;2000;612372;417137;1593522;1033511;1163188;738654;906393;521604;848071;397244;1.0;0.6812;0.6486;0.635;0.5755;0.4684;5125546;3110150;8235696;0.6068
KWT;KW;2000;2000;149887;75387;690287;285874;605145;276191;278601;117863;116266;45736;1.0;0.503;0.4141;0.4564;0.4231;0.3934;1842186;803051;2645237;0.4359
CYM;KY;2000;2000;2400;2400;8200;7900;8443;8060;5867;6100;4700;5800;1.0;1.0;0.9634;0.9546;1.0397;1.234;31610;32260;63870;1.0206
KAZ;KZ;2000;2000;97702;98016;264902;270762;435203;415352;297307;324802;248706;352330;1.0;1.0032;1.0221;0.9544;1.0925;1.4167;1345820;1463262;2809082;1.0873
LAO;LA;2000;2000;783096;755344;850479;741996;450948;353496;210769;159835;172533;130735;1.0;0.9646;0.8724;0.7839;0.7583;0.7577;2469825;2143406;4613231;0.8678
LBN;LB;2000;2000;405799;297652;591730;468785;396158;303318;237904;201182;258021;234503;1.0;0.7335;0.7922;0.7656;0.8456;0.9089;1891612;1507440;3399052;0.7969
LCA;LC;2000;2000;5733;5430;14607;14734;11133;12237;7500;8500;7570;8803;1.0;0.9471;1.0087;1.0992;1.1333;1.1629;48543;51704;100247;1.0651
LIE;LI;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
LKA;LK;2383;2000;1255466;836918;1615023;1134649;1260451;811555;688764;444259;482235;352293;0.8393;0.6666;0.7026;0.6439;0.645;0.7305;5304322;3581674;8885996;0.6752
LBR;LR;2000;2000;184100;168663;177744;166860;115827;86143;57178;36966;44845;29692;1.0;0.9161;0.9388;0.7437;0.6465;0.6621;581694;490324;1072018;0.8429
LSO;LS;2000;2000;120457;133926;98907;106576;61553;67650;20933;25263;32030;40732;1.0;1.1118;1.0775;1.0991;1.2069;1.2717;335880;376147;712027;1.1199
LTU;LT;2000;2000;112577;125547;218407;203286;196974;199727;147467;173459;189357;340999;1.0;1.1152;0.9308;1.014;1.1763;1.8008;866782;1045018;1911800;1.2056
LUX;LU;2000;2000;15489;15503;43003;40969;41233;42603;34099;33951;40041;40128;1.0;1.0009;0.9527;1.0332;0.9957;1.0022;175865;175154;351019;0.996
LVA;LV;2000;2000;48881;57991;98158;97235;114290;120296;78890;103756;90193;176955;1.0;1.1864;0.9906;1.0526;1.3152;1.962;432412;558233;990645;1.291
LBY;LY;2000;2000;1042250;699129;1393499;860205;936917;570151;489390;320200;346783;211588;1.0;0.6708;0.6173;0.6085;0.6543;0.6101;4210839;2663273;6874112;0.6325
MAR;MA;3221;2803;3963815;3378565;4950000;3200000;2900000;1455325;1266800;610032;1178369;565354;0.8702;0.8524;0.6465;0.5018;0.4816;0.4798;14262205;9212079;23474284;0.6459
MCO;MC;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
MDA;MD;2000;2000;91390;113603;134826;154889;157442;182124;114276;141754;150181;254048;1.0;1.2431;1.1488;1.1568;1.2405;1.6916;650115;848418;1498533;1.305
MNE;ME;2000;2000;19100;14753;51046;41100;45296;40627;32458;28800;34620;31700;1.0;0.7724;0.8052;0.8969;0.8873;0.9157;184520;158980;343500;0.8616
MAF;MF;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
MDG;MG;2000;2000;981885;896036;763434;619610;296408;235881;117156;91666;134487;113449;1.0;0.9126;0.8116;0.7958;0.7824;0.8436;2295370;1958642;4254012;0.8533
MHL;MH;2000;2000;3660;4300;3000;3200;2363;2400;2000;2000;3000;3000;1.0;1.1749;1.0667;1.0157;1.0;1.0;16023;16900;32923;1.0547
MKD;MK;2000;2000;74050;57437;150111;113420;128704;102703;104035;84443;129582;122690;1.0;0.7757;0.7556;0.798;0.8117;0.9468;588482;482693;1071175;0.8202
MLI;ML;2000;2000;448797;194482;770169;248044;414084;100048;138075;25317;108637;40581;1.0;0.4333;0.3221;0.2416;0.1834;0.3735;1881762;610472;2492234;0.3244
MMR;MM;2067;2137;2455259;2509034;3053333;2800000;1074679;1012200;426518;440057;363852;375737;1.0339;1.0219;0.917;0.9419;1.0317;1.0327;7375708;7139165;14514873;0.9679
MNG;MN;2000;2000;341420;376056;379273;391779;288827;306449;174901;197855;157017;223590;1.0;1.1014;1.033;1.061;1.1312;1.424;1343438;1497729;2841167;1.1148
MAC;MO;2000;2000;12096;13192;53960;59982;55821;63332;22434;27615;20287;24037;1.0;1.0906;1.1116;1.1346;1.2309;1.1848;166598;190158;356756;1.1414
MNP;MP;2000;2000;2600;3037;3588;6793;2630;3950;2500;2530;3300;3300;1.0;1.1681;1.8933;1.5019;1.012;1.0;16618;21610;38228;1.3004
MTQ;MQ;2000;2000;5527;5227;15879;17430;14580;18540;14124;17690;26420;30320;1.0;0.9457;1.0977;1.2716;1.2525;1.1476;78530;91207;169737;1.1614
