country_code,bucket,tiktok_male,tiktok_female,pop_male,pop_female,pen_male,pen_female,gap_abs,gap_pct,tt_fm,pop_fm,relative_gap
KWT,1519,1500.0,1500.0,147368.0,140802.0,0.0102,0.0107,-0.0005,-2.2785,1.0,0.9554,1.0467
KWT,2024,1336000.0,525000.0,138302.0,119848.0,9.66,4.3805,5.2795,37.6015,0.393,0.8666,0.4535
KWT,2534,2540500.0,1108000.0,636324.0,333489.0,3.9925,3.3224,0.67,9.1596,0.4361,0.5241,0.8321
KWT,3544,1032500.0,650500.0,816745.0,425275.0,1.2642,1.5296,-0.2654,-9.501,0.63,0.5207,1.2099
KWT,4554,290500.0,220500.0,542936.0,287548.0,0.5351,0.7668,-0.2318,-17.803,0.759,0.5296,1.4332
KWT,55plus,232000.0,163500.0,247661.0,136415.0,0.9368,1.1985,-0.2618,-12.2598,0.7047,0.5508,1.2794
LBN,1519,500.0,500.0,275198.0,257650.0,0.0018,0.0019,-0.0001,-3.2932,1.0,0.9362,1.0681
LBN,2024,659500.0,538500.0,253410.0,227905.0,2.6025,2.3628,0.2397,4.827,0.8165,0.8994,0.9078
LBN,2534,1145000.0,739500.0,381295.0,410512.0,3.0029,1.8014,1.2015,25.009,0.6459,1.0766,0.5999
LBN,3544,391500.0,245000.0,328060.0,374605.0,1.1934,0.654,0.5394,29.1954,0.6258,1.1419,0.548
LBN,4554,205000.0,136000.0,295621.0,344876.0,0.6935,0.3943,0.2991,27.4969,0.6634,1.1666,0.5687
LBN,55plus,191500.0,161500.0,277118.0,315586.0,0.691,0.5117,0.1793,14.9066,0.8433,1.1388,0.7405
LKA,1519,500.0,500.0,875490.0,856169.0,0.0006,0.0006,-0.0,-1.1158,1.0,0.9779,1.0226
